id,red,green,blue,contrast_ratio,hue,chroma
1,0,0,0,1,NA,0
2,0,0,1,1,240,1
3,0,0,2,1,240,2
4,0,0,3,1,240,3
5,0,0,4,1,240,4
6,0,0,5,1,240,5
7,0,0,6,1,240,6
8,0,0,7,1,240,7
9,0,0,8,1,240,8
10,0,0,9,1,240,9
11,0,0,10,1,240,10
12,0,0,11,1,240,11
13,0,0,12,1.01,240,12
14,0,0,13,1.01,240,13
15,0,0,14,1.01,240,14
16,0,0,15,1.01,240,15
17,0,0,16,1.01,240,16
18,0,0,17,1.01,240,17
19,0,0,18,1.01,240,18
20,0,0,19,1.01,240,19
21,0,0,20,1.01,240,20
22,0,0,21,1.01,240,21
23,0,0,22,1.01,240,22
24,0,0,23,1.01,240,23
25,0,0,24,1.01,240,24
26,0,0,25,1.01,240,25
27,0,0,26,1.01,240,26
28,0,0,27,1.02,240,27
29,0,0,28,1.02,240,28
30,0,0,29,1.02,240,29
31,0,0,30,1.02,240,30
32,0,0,31,1.02,240,31
33,0,0,32,1.02,240,32
34,0,0,33,1.02,240,33
35,0,0,34,1.02,240,34
36,0,0,35,1.02,240,35
37,0,0,36,1.03,240,36
38,0,0,37,1.03,240,37
39,0,0,38,1.03,240,38
40,0,0,39,1.03,240,39
41,0,0,40,1.03,240,40
42,0,0,41,1.03,240,41
43,0,0,42,1.03,240,42
44,0,0,43,1.03,240,43
45,0,0,44,1.04,240,44
46,0,0,45,1.04,240,45
47,0,0,46,1.04,240,46
48,0,0,47,1.04,240,47
49,0,0,48,1.04,240,48
50,0,0,49,1.04,240,49
51,0,0,50,1.05,240,50
52,0,0,51,1.05,240,51
53,0,0,52,1.05,240,52
54,0,0,53,1.05,240,53
55,0,0,54,1.05,240,54
56,0,0,55,1.06,240,55
57,0,0,56,1.06,240,56
58,0,0,57,1.06,240,57
59,0,0,58,1.06,240,58
60,0,0,59,1.06,240,59
61,0,0,60,1.07,240,60
62,0,0,61,1.07,240,61
63,0,0,62,1.07,240,62
64,0,0,63,1.07,240,63
65,0,0,64,1.07,240,64
66,0,0,65,1.08,240,65
67,0,0,66,1.08,240,66
68,0,0,67,1.08,240,67
69,0,0,68,1.08,240,68
70,0,0,69,1.09,240,69
71,0,0,70,1.09,240,70
72,0,0,71,1.09,240,71
73,0,0,72,1.09,240,72
74,0,0,73,1.1,240,73
75,0,0,74,1.1,240,74
76,0,0,75,1.1,240,75
77,0,0,76,1.1,240,76
78,0,0,77,1.11,240,77
79,0,0,78,1.11,240,78
80,0,0,79,1.11,240,79
81,0,0,80,1.12,240,80
82,0,0,81,1.12,240,81
83,0,0,82,1.12,240,82
84,0,0,83,1.12,240,83
85,0,0,84,1.13,240,84
86,0,0,85,1.13,240,85
87,0,0,86,1.13,240,86
88,0,0,87,1.14,240,87
89,0,0,88,1.14,240,88
90,0,0,89,1.14,240,89
91,0,0,90,1.15,240,90
92,0,0,91,1.15,240,91
93,0,0,92,1.15,240,92
94,0,0,93,1.16,240,93
95,0,0,94,1.16,240,94
96,0,0,95,1.17,240,95
97,0,0,96,1.17,240,96
98,0,0,97,1.17,240,97
99,0,0,98,1.18,240,98
100,0,0,99,1.18,240,99
101,0,0,100,1.18,240,100
102,0,0,101,1.19,240,101
103,0,0,102,1.19,240,102
104,0,0,103,1.2,240,103
105,0,0,104,1.2,240,104
106,0,0,105,1.2,240,105
107,0,0,106,1.21,240,106
108,0,0,107,1.21,240,107
109,0,0,108,1.22,240,108
110,0,0,109,1.22,240,109
111,0,0,110,1.23,240,110
112,0,0,111,1.23,240,111
113,0,0,112,1.23,240,112
114,0,0,113,1.24,240,113
115,0,0,114,1.24,240,114
116,0,0,115,1.25,240,115
117,0,0,116,1.25,240,116
118,0,0,117,1.26,240,117
119,0,0,118,1.26,240,118
120,0,0,119,1.27,240,119
121,0,0,120,1.27,240,120
122,0,0,121,1.28,240,121
123,0,0,122,1.28,240,122
124,0,0,123,1.29,240,123
125,0,0,124,1.29,240,124
126,0,0,125,1.3,240,125
127,0,0,126,1.3,240,126
128,0,0,127,1.31,240,127
129,0,0,128,1.31,240,128
130,0,0,129,1.32,240,129
131,0,0,130,1.32,240,130
132,0,0,131,1.33,240,131
133,0,0,132,1.33,240,132
134,0,0,133,1.34,240,133
135,0,0,134,1.34,240,134
136,0,0,135,1.35,240,135
137,0,0,136,1.36,240,136
138,0,0,137,1.36,240,137
139,0,0,138,1.37,240,138
140,0,0,139,1.37,240,139
141,0,0,140,1.38,240,140
142,0,0,141,1.38,240,141
143,0,0,142,1.39,240,142
144,0,0,143,1.4,240,143
145,0,0,144,1.4,240,144
146,0,0,145,1.41,240,145
147,0,0,146,1.42,240,146
148,0,0,147,1.42,240,147
149,0,0,148,1.43,240,148
150,0,0,149,1.43,240,149
151,0,0,150,1.44,240,150
152,0,0,151,1.45,240,151
153,0,0,152,1.45,240,152
154,0,0,153,1.46,240,153
155,0,0,154,1.47,240,154
156,0,0,155,1.47,240,155
157,0,0,156,1.48,240,156
158,0,0,157,1.49,240,157
159,0,0,158,1.49,240,158
160,0,0,159,1.5,240,159
161,0,0,160,1.51,240,160
162,0,0,161,1.51,240,161
